RANK,COMPANY,SYMBOL,REVENUES($M),WEBSITE
309,MGM Resorts International,MGM,9190,www.mgmresorts.com
310,Autoliv,ALV,9170,www.autoliv.com
311,Fidelity National Financial,FNF,9132,www.fnf.com
312,Republic Services,RSG,9115,www.republicservices.com
313,Corning,GLW,9111,www.corning.com
314,Peter Kiewit Sons',,8992,www.kiewit.com
315,Univar,UNVR,8982,www.univar.com
316,Mosaic,MOS,8895,www.mosaicco.com
317,Core-Mark Holding,CORE,8858,www.core-mark.com
318,Thrivent Financial for Lutherans,,8789,www.thrivent.com
319,Cameron International,CAM,8782,www.c-a-m.com
320,HD Supply Holdings,HDS,8779,www.hdsupply.com
321,Crown Holdings,CCK,8762,www.crowncork.com
322,EOG Resources,EOG,8757,www.eogresources.com
323,Veritiv,VRTV,8718,www.veritivcorp.com
324,Anadarko Petroleum,APC,8698,www.anadarko.com
325,Laboratory Corp. of America,LH,8680,www.labcorp.com
326,Pacific Life,,8642,www.pacificlife.com
327,News Corp.,FOXA,8633,www.newscorp.com
328,Jarden,JAH,8604,www.jarden.com
329,SunTrust Banks,STI,8533,www.suntrust.com
330,Avis Budget Group,CAR,8502,www.avisbudgetgroup.com
331,Broadcom,BRCM,8394,www.broadcom.com
332,American Family Insurance Group,,8286,www.amfam.com
333,Level 3 Communications,LVLT,8229,www.level3.com
334,Tenneco,TEN,8209,www.tenneco.com
335,United Natural Foods,UNFI,8185,www.unfi.com
336,Dean Foods,DF,8122,www.deanfoods.com
337,Campbell Soup,CPB,8082,www.campbellsoupcompany.com
338,Mohawk Industries,MHK,8072,www.mohawkind.com
339,BorgWarner,BWA,8023,www.borgwarner.com
340,PVH,PVH,8020,www.pvh.com
341,Ball,BLL,7997,www.ball.com
342,O'Reilly Automotive,ORLY,7967,www.oreillyauto.com
343,Eversource Energy,ES,7955,www.eversource.com
344,Franklin Resources,BEN,7949,www.franklinresources.com
345,Masco,MAS,7904,www.masco.com
346,Lithia Motors,LAD,7864,www.lithia.com
347,KKR,KKR,7786,www.kkr.com
348,Oneok,OKE,7763,www.oneok.com
349,Newmont Mining,NEM,7729,www.newmont.com
350,PPL,PPL,7669,www.pplweb.com
351,SpartanNash,SPTN,7652,www.spartannash.com
352,Quanta Services,PWR,7632,www.quantaservices.com
353,XPO Logistics,XPO,7623,www.xpo.com
354,Ralph Lauren,RL,7620,www.ralphlauren.com
355,Interpublic Group,IPG,7614,www.interpublic.com
356,Steel Dynamics,STLD,7594,www.steeldynamics.com
357,WESCO International,WCC,7519,www.wesco.com
358,Quest Diagnostics,DGX,7493,www.questdiagnostics.com
359,Boston Scientific,BSX,7477,www.bostonscientific.com
360,AGCO,AGCO,7467,www.agcocorp.com
361,Foot Locker,FL,7412,www.footlocker-inc.com
362,Hershey,HSY,7387,www.thehersheycompany.com
363,CenterPoint Energy,CNP,7386,www.centerpointenergy.com
364,Williams,WMB,7360,www.williams.com
365,Dick's Sporting Goods,DKS,7271,www.dickssportinggoods.com
366,Live Nation Entertainment,LYV,7246,www.livenation.com
367,Mutual of Omaha Insurance,,7236,www.mutualofomaha.com
368,W.R. Berkley,WRB,7207,www.wrberkley.com
369,LKQ,LKQ,7193,www.lkqcorp.com
370,Avon Products,AVP,7173,www.avoncompany.com
371,Darden Restaurants,DRI,7164,www.darden.com
372,Kindred Healthcare,KND,7098,www.kindredhealthcare.com
373,Weyerhaeuser,WY,7082,www.weyerhaeuser.com
374,Casey's General Stores,CASY,7052,www.caseys.com
375,Sealed Air,SEE,7032,www.sealedair.com
376,Fifth Third Bancorp,FITB,7031,www.53.com
377,Dover,DOV,7029,www.dovercorporation.com
378,Huntington Ingalls Industries,HII,7020,www.huntingtoningalls.com
379,Netflix,NFLX,6780,www.netflix.com
380,Dillard's,DDS,6755,www.dillards.com
381,EMCOR Group,EME,6723,www.emcorgroup.com
382,Jones Financial,JONE,6694,www.edwardjones.com
383,AK Steel Holding,AKS,6693,www.aksteel.com
384,UGI,UGI,6691,www.ugicorp.com
385,Expedia,EXPE,6672,www.expediainc.com
386,salesforce.com,CRM,6667,www.salesforce.com
387,Targa Resources,TRGP,6659,www.targaresources.com
388,Apache,APA,6654,www.apachecorp.com
389,Spirit AeroSystems Holdings,SPR,6644,www.spiritaero.com
390,Expeditors International of Washington,EXPD,6617,www.expeditors.com
391,Anixter International,AXE,6596,www.anixter.com
392,Fidelity National Information Services,FIS,6595,www.fisglobal.com
393,Asbury Automotive Group,ABG,6588,www.asburyauto.com
394,Hess,HES,6575,www.hess.com
395,Ryder System,R,6572,www.ryder.com
396,Terex,TEX,6543,www.terex.com
397,Coca-Cola European Partners,,6540,www.cokecce.com
398,Auto-Owners Insurance,,6517,www.auto-owners.com
399,Cablevision Systems,CVC,6510,www.cablevision.com
400,Symantec,SYMC,6508,www.symantec.com
401,Charles Schwab,SCHW,6501,www.aboutschwab.com
402,Calpine,CPN,6472,www.calpine.com
403,CMS Energy,CMS,6456,www.cmsenergy.com
404,Alliance Data Systems,ADS,6440,www.alliancedata.com
405,JetBlue Airways,JBLU,6416,www.jetblue.com
406,Discovery Communications,DISCA,6394,www.discoverycommunications.com
407,Trinity Industries,TRN,6393,www.trin.net
408,Sanmina,SANM,6375,www.sanmina.com
409,NCR,NCR,6373,www.ncr.com
410,FMC Technologies,FTI,6363,www.fmctechnologies.com
411,Erie Insurance Group,ERIE,6351,www.erieinsurance.com
412,Rockwell Automation,ROK,6308,www.rockwellautomation.com
413,Dr Pepper Snapple Group,DPS,6282,www.drpeppersnapplegroup.com
414,iHeartMedia,IHRT,6242,www.iheartmedia.com
415,Tractor Supply,TSCO,6227,www.tractorsupply.com
416,J.B. Hunt Transport Services,JBHT,6188,www.jbhunt.com
417,Commercial Metals,CMC,6162,www.cmc.com
418,Owens-Illinois,OI,6156,www.o-i.com
419,Harman International Industries,HAR,6155,www.harman.com
420,Baxalta,BXLT,6149,www.baxalta.com
421,American Financial Group,AFG,6145,www.afginc.com
422,NetApp,NTAP,6123,www.netapp.com
423,Graybar Electric,,6110,www.graybar.com
424,Oshkosh,OSK,6098,www.oshkoshcorporation.com
425,Ameren,AEE,6098,www.ameren.com
426,A-Mark Precious Metals,AMRK,6070,www.amark.com
427,Barnes & Noble,BKS,6070,www.barnesandnobleinc.com
428,Dana Holding,DAN,6060,www.dana.com
429,Constellation Brands,STZ,6028,www.cbrands.com
430,LifePoint Health,LPNT,6014,www.lifepointhealth.net
431,Zimmer Biomet Holdings,ZBH,5998,www.zimmerbiomet.com
432,Harley-Davidson,HOG,5995,www.harley-davidson.com
433,PulteGroup,PHM,5982,www.pultegroupinc.com
434,Newell Brands,NWL,5972,www.newellbrands.com
435,Avery Dennison,AVY,5967,www.averydennison.com
436,Jones Lang LaSalle,JLL,5966,www.jll.com
437,WEC Energy Group,WEC,5926,www.wecenergygroup.com
438,Marathon Oil,MRO,5861,www.marathonoil.com
439,TravelCenters of America,TA,5851,www.ta-petrol.com
440,United Rentals,URI,5817,www.unitedrentals.com
441,HRG Group,HRG,5816,www.hrggroup.com
442,Old Republic International,ORI,5766,www.oldrepublic.com
443,Windstream Holdings,WIN,5765,www.windstream.com
444,Starwood Hotels & Resorts,HOT,5763,www.starwoodhotels.com
445,Delek US Holdings,DK,5762,www.delekus.com
446,Packaging Corp. of America,PKG,5742,www.packagingcorp.com
447,Quintiles IMS Holdings,Q,5738,www.quintiles.com
448,Hanesbrands,HBI,5732,www.hanes.com
449,Realogy Holdings,RLGY,5706,www.realogy.com
450,Mattel,MAT,5703,www.mattel.com
451,Motorola Solutions,MSI,5695,www.motorolasolutions.com
452,J.M. Smucker,SJM,5693,www.jmsmucker.com
453,Regions Financial,RF,5674,www.regions.com
453,Celanese,CE,5674,www.celanese.com
455,Clorox,CLX,5666,www.thecloroxcompany.com
456,Ingredion,INGR,5621,www.ingredion.com
457,Genesis Healthcare,GEN,5619,www.genesishcc.com
458,Peabody Energy,BTU,5609,www.peabodyenergy.com
459,Alaska Air Group,ALK,5598,www.alaskaair.com
460,Seaboard,SEB,5594,www.seaboardcorp.com
461,Frontier Communications,FTR,5576,www.frontier.com
462,Amphenol,APH,5569,www.amphenol.com
463,Lansing Trade Group,,5565,www.lansingtradegroup.com
464,SanDisk,SNDK,5565,www.sandisk.com
465,St. Jude Medical,STJ,5541,www.sjm.com
466,Wyndham Worldwide,WYN,5536,www.wyndhamworldwide.com
467,Kelly Services,KELYA,5518,www.kellyservices.com
468,Western Union,WU,5484,www.westernunion.com
469,Envision Healthcare Holdings,,5448,www.evhc.net
470,Visteon,VC,5444,www.visteon.com
471,Arthur J. Gallagher,AJG,5392,www.ajg.com
